datetime,date,year,month,day,wday,hour,minute,color,direction,station,problem,type,delay,order,average_rides
2016-11-16T05:13:00Z,11/16/16,2016,11,16,Wed,5,13,Blue,Franconia-Springfield,Capitol South,a signal problem,Mechanical,8,19,6983
2016-11-16T06:04:00Z,11/16/16,2016,11,16,Wed,6,4,Blue,Largo Town Center,King St-Old Town,did not operate,Train delay,8,3,7906
2016-11-16T06:46:00Z,11/16/16,2016,11,16,Wed,6,46,Green,Greenbelt,Columbia Heights,an equipment problem,Mechanical,6,15,11401
2016-11-16T06:46:00Z,11/16/16,2016,11,16,Wed,6,46,Green,Branch Avenue,U St-Cardozo,a brake problem,Mechanical,18,14,6671
2016-11-16T07:00:00Z,11/16/16,2016,11,16,Wed,7,0,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-16T08:16:00Z,11/16/16,2016,11,16,Wed,8,16,Orange,Vienna,New Carrollton,a brake problem,Mechanical,6,26,7142
2016-11-16T08:46:00Z,11/16/16,2016,11,16,Wed,8,46,Red,Shady Grove,Medical Center,a brake problem,Mechanical,6,6,5511
2016-11-16T08:50:00Z,11/16/16,2016,11,16,Wed,8,50,Red,NoMa-Gallaudet,Judiciary Sq,schedule adherence/improved train spacing,Train delay,6,17,8214
2016-11-16T08:58:00Z,11/16/16,2016,11,16,Wed,8,58,Red,Shady Grove,Dupont Circle,a medical emergency,Passenger issue,6,13,17672
2016-11-16T08:59:00Z,11/16/16,2016,11,16,Wed,8,59,Red,NoMa-Gallaudet,Judiciary Sq,schedule adherence/improved train spacing,Train delay,6,17,8214
2016-11-16T09:03:00Z,11/16/16,2016,11,16,Wed,9,3,Red,NoMa-Gallaudet,Farragut North,schedule adherence/improved train spacing,Train delay,6,14,23659
2016-11-16T09:20:00Z,11/16/16,2016,11,16,Wed,9,20,Red,NoMa-Gallaudet,Van Ness-UDC,schedule adherence/improved train spacing,Train delay,6,10,5334
2016-11-16T10:27:00Z,11/16/16,2016,11,16,Wed,10,27,Orange,Vienna,West Falls Church,a medical emergency,Passenger issue,20,3,2671
2016-11-16T11:03:00Z,11/16/16,2016,11,16,Wed,11,3,Red,Shady Grove,Metro Center,police activity,Official business,6,15,24372
2016-11-16T15:04:00Z,11/16/16,2016,11,16,Wed,15,4,Silver,Largo Town Center,Wiehle-Reston East,did not operate,Train delay,6,1,7497
2016-11-16T15:26:00Z,11/16/16,2016,11,16,Wed,15,26,Red,Shady Grove,White Flint,police activity,Official business,5,4,3505
2016-11-16T15:43:00Z,11/16/16,2016,11,16,Wed,15,43,Red,NoMa-Gallaudet,Shady Grove,a brake problem,Mechanical,6,1,11870
2016-11-16T15:54:00Z,11/16/16,2016,11,16,Wed,15,54,Silver,Largo Town Center,Tysons Corner,an equipment problem,Mechanical,6,4,3049
2016-11-16T16:04:00Z,11/16/16,2016,11,16,Wed,16,4,Orange,Vienna,New Carrollton,an operational problem,Train delay,6,26,7142
2016-11-16T16:53:00Z,11/16/16,2016,11,16,Wed,16,53,Red,Shady Grove,Grosvenor-Strathmore,a brake problem,Mechanical,6,5,5227
2016-11-16T16:57:00Z,11/16/16,2016,11,16,Wed,16,57,Blue,Largo Town Center,Stadium-Armory,a door problem,Mechanical,7,22,2422
2016-11-16T22:36:00Z,11/16/16,2016,11,16,Wed,22,36,Orange,New Carrollton,West Falls Church,an equipment problem,Mechanical,5,3,2671
2016-11-16T23:53:00Z,11/16/16,2016,11,16,Wed,23,53,Yellow,Huntington,Georgia Ave-Petworth,police activity,Official business,9,16,5793
2016-11-15T00:49:00Z,11/15/16,2016,11,15,Tue,0,49,Green,Branch Avenue,Naylor Road,striking an object on the track,Track obstruction,15,3,2453
2016-11-15T05:37:00Z,11/15/16,2016,11,15,Tue,5,37,Blue,Franconia-Springfield,Eastern Market,an equipment problem,Mechanical,14,20,5341
2016-11-15T06:04:00Z,11/15/16,2016,11,15,Tue,6,4,Blue,Largo Town Center,King St-Old Town,did not operate,Train delay,8,3,7906
2016-11-15T06:16:00Z,11/15/16,2016,11,15,Tue,6,16,Blue,Largo Town Center,King St-Old Town,did not operate,Train delay,8,3,7906
2016-11-15T07:00:00Z,11/15/16,2016,11,15,Tue,7,0,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-15T07:10:00Z,11/15/16,2016,11,15,Tue,7,10,Orange,Vienna,New Carrollton,did not operate,Train delay,6,26,7142
2016-11-15T07:12:00Z,11/15/16,2016,11,15,Tue,7,12,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-15T07:16:00Z,11/15/16,2016,11,15,Tue,7,16,Yellow,Mt. Vernon Square,Braddock Rd,an equipment problem,Mechanical,6,4,4610
2016-11-15T07:49:00Z,11/15/16,2016,11,15,Tue,7,49,Orange,New Carrollton,Vienna-Fairfax,a door problem,Mechanical,4,1,9863
2016-11-15T07:59:00Z,11/15/16,2016,11,15,Tue,7,59,Silver,Largo Town Center,Rosslyn,schedule adherence/improved train spacing,Train delay,6,11,13295
2016-11-15T08:26:00Z,11/15/16,2016,11,15,Tue,8,26,Orange,Vienna,Capitol South,a door problem,Mechanical,5,18,6983
2016-11-15T08:30:00Z,11/15/16,2016,11,15,Tue,8,30,Silver,Wiehle-Reston East,Largo Town Center,a brake problem,Mechanical,6,28,4276
2016-11-15T08:45:00Z,11/15/16,2016,11,15,Tue,8,45,Blue,Largo Town Center,Stadium-Armory,a brake problem,Mechanical,6,22,2422
2016-11-15T10:28:00Z,11/15/16,2016,11,15,Tue,10,28,Red,Glenmont,Friendship Heights,a door problem,Mechanical,6,8,8178
2016-11-15T12:19:00Z,11/15/16,2016,11,15,Tue,12,19,Green,Branch Avenue,Fort Totten,maintenance activity,Maintenance,9,17,7704
2016-11-15T15:37:00Z,11/15/16,2016,11,15,Tue,15,37,Blue,Largo Town Center,Franconia-Springfield,an operational problem,Train delay,6,1,7066
2016-11-15T15:58:00Z,11/15/16,2016,11,15,Tue,15,58,Silver,Largo Town Center,Wiehle-Reston East,did not operate,Train delay,6,1,7497
2016-11-15T16:06:00Z,11/15/16,2016,11,15,Tue,16,6,Blue,Largo Town Center,Ronald Reagan National Airport,a brake problem,Mechanical,3,5,6618
2016-11-15T16:49:00Z,11/15/16,2016,11,15,Tue,16,49,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-15T21:30:00Z,11/15/16,2016,11,15,Tue,21,30,Blue,Largo Town Center,Franconia-Springfield,police activity,Official business,9,1,7066
2016-11-14T05:43:00Z,11/14/16,2016,11,14,Mon,5,43,Red,Shady Grove,Twinbrook,maintenance activity,Maintenance,6,3,4178
2016-11-14T06:30:00Z,11/14/16,2016,11,14,Mon,6,30,Blue,Franconia-Springfield,McPherson Sq,a door problem,Mechanical,6,13,13766
2016-11-14T07:00:00Z,11/14/16,2016,11,14,Mon,7,0,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-14T07:12:00Z,11/14/16,2016,11,14,Mon,7,12,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-14T07:59:00Z,11/14/16,2016,11,14,Mon,7,59,Red,NoMa-Gallaudet,Cleveland Park,a medical emergency,Passenger issue,3,11,3856
2016-11-14T08:27:00Z,11/14/16,2016,11,14,Mon,8,27,Red,NoMa-Gallaudet,Shady Grove,an operational problem,Train delay,5,1,11870
2016-11-14T10:39:00Z,11/14/16,2016,11,14,Mon,10,39,Orange,Vienna,Virginia Square,an operational problem,Train delay,9,6,3634
2016-11-14T12:34:00Z,11/14/16,2016,11,14,Mon,12,34,Red,Shady Grove,Tenleytown-AU,a brake problem,Mechanical,6,9,5307
2016-11-14T15:18:00Z,11/14/16,2016,11,14,Mon,15,18,Blue,Franconia-Springfield,Braddock Rd,police activity,Official business,9,4,4610
2016-11-14T16:10:00Z,11/14/16,2016,11,14,Mon,16,10,Silver,Wiehle-Reston East,Largo Town Center,did not operate,Train delay,6,28,4276
2016-11-14T16:21:00Z,11/14/16,2016,11,14,Mon,16,21,Green,Franconia-Springfield,Greenbelt,an operational problem,Train delay,7,21,5934
2016-11-14T16:46:00Z,11/14/16,2016,11,14,Mon,16,46,Yellow,Huntington,Greenbelt,an operational problem,Train delay,9,21,5934
2016-11-14T16:52:00Z,11/14/16,2016,11,14,Mon,16,52,Red,NoMa-Gallaudet,Dupont Circle,a brake problem,Mechanical,6,13,17672
2016-11-14T17:45:00Z,11/14/16,2016,11,14,Mon,17,45,Green,Branch Avenue,Greenbelt,an operational problem,Train delay,9,21,5934
2016-11-14T19:03:00Z,11/14/16,2016,11,14,Mon,19,3,Yellow,Ft. Totten,Eisenhower Ave,an operational problem,Train delay,8,2,1609
2016-11-14T19:14:00Z,11/14/16,2016,11,14,Mon,19,14,Green,Branch Avenue,Anacostia,a brake problem,Mechanical,28,6,6480
2016-11-14T19:33:00Z,11/14/16,2016,11,14,Mon,19,33,Green,Greenbelt,Branch Ave,did not operate,Train delay,6,1,5600
2016-11-14T19:45:00Z,11/14/16,2016,11,14,Mon,19,45,Green,Greenbelt,Branch Ave,did not operate,Train delay,6,1,5600
2016-11-14T19:53:00Z,11/14/16,2016,11,14,Mon,19,53,Orange,Vienna,Potomac Ave,a door problem,Mechanical,12,20,3304
2016-11-14T19:57:00Z,11/14/16,2016,11,14,Mon,19,57,Green,Greenbelt,Branch Ave,did not operate,Train delay,6,1,5600
2016-11-14T20:12:00Z,11/14/16,2016,11,14,Mon,20,12,Orange,New Carrollton,Stadium-Armory,a door problem,Mechanical,12,21,2422
2016-11-14T20:45:00Z,11/14/16,2016,11,14,Mon,20,45,Green,Branch Avenue,Greenbelt,an operational problem,Train delay,6,21,5934
2016-11-14T21:41:00Z,11/14/16,2016,11,14,Mon,21,41,Green,Branch Avenue,West Hyattsville,striking a deer,Track obstruction,20,18,3505
2016-11-14T21:48:00Z,11/14/16,2016,11,14,Mon,21,48,Silver,Largo Town Center,Foggy Bottom-GWU,a brake problem,Mechanical,30,12,19074
2016-11-13T08:01:00Z,11/13/16,2016,11,13,Sun,8,1,Orange,Vienna,Virginia Square,unscheduled track maintenance,Maintenance,24,6,3634
2016-11-13T08:30:00Z,11/13/16,2016,11,13,Sun,8,30,Green,Greenbelt,Greenbelt,a track problem,Track obstruction,5,21,5934
2016-11-13T09:09:00Z,11/13/16,2016,11,13,Sun,9,9,Silver,Largo Town Center,McLean,unscheduled track maintenance,Maintenance,19,5,1589
2016-11-13T18:34:00Z,11/13/16,2016,11,13,Sun,18,34,Yellow,Mt. Vernon Square,Fort Totten,an operational problem,Train delay,20,17,7704
2016-11-13T18:46:00Z,11/13/16,2016,11,13,Sun,18,46,Green,Branch Avenue,Congress Heights,an operational problem,Train delay,12,5,2382
2016-11-12T07:20:00Z,11/12/16,2016,11,12,Sat,7,20,Red,NoMa-Gallaudet,Rockville,a door problem,Mechanical,5,2,4147
2016-11-12T09:21:00Z,11/12/16,2016,11,12,Sat,9,21,Orange,New Carrollton,Vienna-Fairfax,an operational problem,Train delay,8,1,9863
2016-11-12T11:20:00Z,11/12/16,2016,11,12,Sat,11,20,Yellow,Huntington,Shaw-Howard U,an equipment problem,Mechanical,12,13,4615
2016-11-12T12:09:00Z,11/12/16,2016,11,12,Sat,12,9,Green,Greenbelt,U St-Cardozo,a medical emergency,Passenger issue,17,14,6671
2016-11-12T12:30:00Z,11/12/16,2016,11,12,Sat,12,30,Red,Shady Grove,Farragut North,a signal problem,Mechanical,9,14,23659
2016-11-12T13:20:00Z,11/12/16,2016,11,12,Sat,13,20,Green,Greenbelt,Fort Totten,a medical emergency,Passenger issue,8,17,7704
2016-11-12T13:56:00Z,11/12/16,2016,11,12,Sat,13,56,Orange,New Carrollton,Minnesota Ave,a medical emergency,Passenger issue,13,22,2209
2016-11-12T14:33:00Z,11/12/16,2016,11,12,Sat,14,33,Yellow,Huntington,King St-Old Town,a brake problem,Mechanical,5,3,7906
2016-11-12T17:50:00Z,11/12/16,2016,11,12,Sat,17,50,Red,NoMa-Gallaudet,Bethesda,a door problem,Mechanical,6,7,9459
2016-11-12T18:43:00Z,11/12/16,2016,11,12,Sat,18,43,Green,Branch Avenue,College Park-U of MD,a door problem,Mechanical,16,20,4043
2016-11-11T06:31:00Z,11/11/16,2016,11,11,Fri,6,31,Blue,Largo Town Center,Van Dorn St,a door problem,Mechanical,6,2,3089
2016-11-11T06:59:00Z,11/11/16,2016,11,11,Fri,6,59,Blue,Largo Town Center,Franconia-Springfield,an operational problem,Train delay,9,1,7066
2016-11-11T07:22:00Z,11/11/16,2016,11,11,Fri,7,22,Red,Shady Grove,Farragut North,a brake problem,Mechanical,12,14,23659
2016-11-11T07:31:00Z,11/11/16,2016,11,11,Fri,7,31,Green,Branch Avenue,U St-Cardozo,a brake problem,Mechanical,20,14,6671
2016-11-11T08:14:00Z,11/11/16,2016,11,11,Fri,8,14,Red,NoMa-Gallaudet,Bethesda,a brake problem,Mechanical,9,7,9459
2016-11-11T08:33:00Z,11/11/16,2016,11,11,Fri,8,33,Red,Glenmont,Fort Totten,a signal problem,Mechanical,4,22,7704
2016-11-11T12:04:00Z,11/11/16,2016,11,11,Fri,12,4,Red,NoMa-Gallaudet,Shady Grove,a brake problem,Mechanical,6,1,11870
2016-11-11T12:16:00Z,11/11/16,2016,11,11,Fri,12,16,Silver,Wiehle-Reston East,Farragut West,an operational problem,Train delay,15,13,20039
