Name,Alias,TheAvengers,AgeOfUltron,InfinityWar
Peter Benjamin Parker,Spider-Man,0,0,435
Steven Rogers,Captain America,1695,1305,435
"Anthony Edward ""Tony"" Stark",Iron Man,1905,1635,1020
Thor Odinson,Thor,1080,795,915
Robert Bruce Banner,Hulk,1305,1200,570
Clinton Francis Barton,Hawkeye,765,900,0
Doctor Stephen Vincent Strange,Dr. Strange,0,0,675
Wanda Maximoff,Scarlet Witch,0,720,540
Natalia Alianovna Romanova,Black Widow,1485,1080,300
T'Challa,Black Panther,0,0,210
Pietro Maximoff,Quicksilver,0,600,0
James Buchanan Barnes,Bucky,0,0,120
James R. Rhodes,War Machine,0,150,165
Maria Hill,Maria Hill,330,180,45
"Nicholas Fury, Jr., Marcus Johnson",Nick Fury,1095,180,60
Scott Edward Harris Lang,Ant-Man,0,0,0
Phillip Coulson,Agent Coulson,540,0,0
Victor Shade (alias),Vision,0,375,600
Samuel Thomas Wilson,Falcon,0,45,165
